raw_city,canonical_city,n_occurrences
CHICAGO,Chicago,297676
Chicago,Chicago,483
,,162
chicago,Chicago,158
CCHICAGO,Chicago,61
SCHAUMBURG,Schaumburg,28
EVANSTON,Evanston,24
CHicago,Chicago,22
MAYWOOD,Maywood,15
ELK GROVE VILLAGE,Elk Grove Village,13
CHICAGOCHICAGO,Chicago,12
OAK PARK,Oak Park,11
CHICAGOO,Chicago,9
SKOKIE,Skokie,9
CICERO,Cicero,9
CHICAGO.,Chicago,8
BERWYN,Berwyn,8
INACTIVE,Inactive,8
MERRIVILLE,Merriville,7
CALUMET CITY,Calumet City,7
ELMHURST,Elmhurst,7
NILES NILES,Niles,7
312CHICAGO,Chicago,6
CHCHICAGO,Chicago,6
NAPERVILLE,Naperville,5
PLAINFIELD,Plainfield,5
SUMMIT,Summit,5
WORTH,Worth,5
HIGHLAND PARK,Highland Park,4
BRIDGEVIEW,Bridgeview,4
CHARLES A HAYES,Charles A Hayes,4
ROSEMONT,Rosemont,3
SCHILLER PARK,Schiller Park,3
CHCICAGO,Chicago,3
CHICAGOI,Chicago,3
EAST HAZEL CREST,East Hazel Crest,3
ALSIP,Alsip,3
BURBANK,Burbank,2
LAKE ZURICH,Lake Zurich,2
EVERGREEN PARK,Evergreen Park,2
BURNHAM,Burnham,2
OAK LAWN,Oak Lawn,2
CHICAGOC,Chicago,2
BANNOCKBURNDEERFIELD,Bannockburndeerfield,2
CHICAGO HEIGHTS,Chicago Heights,2
STREAMWOOD,Streamwood,2
BLUE ISLAND,Blue Island,2
BALDWIN PARK,Baldwin Park,1
MOUNT PROSPECT,Mount Prospect,1
RIPON,Ripon,1
GRAYSLAKE,Grayslake,1
BROOKFIELD,Brookfield,1
HAMMOND,Hammond,1
MERRILLVILLE,Merriville,1
EVERGREEN,Evergreen Park,1
MATTESON,Matteson,1
WESTERN SPRINGS,Western Springs,1
CH,Chicago,1
TORRANCE,Torrance,1
WHITING,Whiting,1
GLEN ELLYN,Glen Ellyn,1
LOS ANGELES,Los Angeles,1
MORTON GROVE,Morton Grove,1
chicagoBEDFORD PARK,Chicago,1
GRIFFITH,Griffith,1
NEW YORK,New York,1
ALGONQUIN,Algonquin,1
NEW HOLSTEIN,New Holstein,1
LANSING,Lansing,1
WADSWORTH,Wadsworth,1
WILMETTE,Wilmette,1
WHEATON,Wheaton,1
PALOS PARK,Palos Park,1
LAKE BLUFF,Lake Bluff,1
BLOOMINGDALE,Bloomingdale,1
Norridge,Norridge,1
OOLYMPIA FIELDS,Olympia Fields,1
WESTMONT,Westmont,1
JUSTICE,Justice,1
TINLEY PARK,Tinley Park,1
LOMBARD,Lombard,1
COUNTRY CLUB HILLS,Country Club Hills,1
BOLINGBROOK,Bolingbrook,1
DES PLAINES,Des Plaines,1
OLYMPIA FIELDS,Olympia Fields,1
alsip,Alsip,1
GLENCOE,Glencoe,1
FRANKFORT,Frankfort,1
BROADVIEW,Broadview,1
Maywood,Maywood,1
