raw_facility_type,canonical_facility_type,n_occurrences
Restaurant,Restaurant,201947
Grocery Store,Grocery Store,36328
School,School,18822
Children's Services Facility,Children's Services Facility,7111
,,5264
Bakery,Bakery,4295
Daycare Above and Under 2 Years,Daycare,3958
Daycare (2 - 6 Years),Daycare,3183
Long Term Care,Long Term Care,2314
Catering,Catering,1849
Liquor,Liquor,1279
Mobile Food Preparer,Mobile Food,1160
Mobile Food Dispenser,Mobile Food,951
Hospital,Hospital,933
Golden Diner,Golden Diner,853
Daycare Combo 1586,Daycare,667
Wholesale,Wholesale,574
Shared Kitchen User (Long Term),Shared Kitchen User,441
TAVERN,Liquor,412
Special Event,Special Event,358
Shared Kitchen,Shared Kitchen User,304
Daycare (Under 2 Years),Daycare,284
BANQUET HALL,Banquet,227
GAS STATION,Gas Station,206
CHARTER SCHOOL,School,166
Mobile Prepared Food Vendor,Mobile Food,155
Shelter,Shelter,144
KIOSK,Kiosk,104
LIVE POULTRY,Live Poultry,103
BANQUET,Banquet,101
PRIVATE SCHOOL,School,95
Mobile Frozen Desserts Vendor,Mobile Food,90
DAYCARE,Daycare,75
ROOFTOP,Rooftop,69
Navy Pier Kiosk,Navy Pier Kiosk,66
STADIUM,Stadium,64
Pop-Up Establishment Host-Tier II,Pop-up Establishment,60
GROCERY STORE/GAS STATION,Grocery Store,54
RESTAURANT/BAR,Restaurant,54
CAFETERIA,Cafeteria,52
HOTEL,Hotel,52
Shared Kitchen User (Short Term),Shared Kitchen User,50
ROOFTOPS,Rooftop,49
GROCERY/RESTAURANT,Restaurant,45
SUPPORTIVE LIVING,Assisted Living,45
STORE,Store,45
1023 CHILDERN'S SERVICES FACILITY,Children's Services Facility,43
CONVENIENCE STORE,Convenience Store,42
ICE CREAM SHOP,Ice Cream,41
COMMISSARY,Commissary,37
COOKING SCHOOL,Cooking School,37
RESTAURANT/GROCERY STORE,Restaurant,35
ROOF TOPS,Rooftop,35
ASSISTED LIVING,Assisted Living,34
CHURCH,Church,34
Banquet Hall,Banquet,33
CULINARY SCHOOL,Cooking School,33
NURSING HOME,Nursing Home,30
CHURCH KITCHEN,Church,30
ROOF TOP,Rooftop,28
Grocery & Restaurant,Restaurant,28
convenience store,Convenience Store,28
CONVENIENCE,Convenience Store,28
HERBALIFE,Herbal,27
PALETERIA,Paleteria,27
coffee shop,Cafe,27
THEATER,Theater,26
Grocery(Sushi prep),Grocery Store,25
AFTER SCHOOL PROGRAM,After School Program,25
UNIVERSITY CAFETERIA,Cafeteria,24
CHARTER,Charter,23
GAS STATION/MINI MART,Gas Station,23
Live Poultry,Live Poultry,23
Banquet,Banquet,22
1023-CHILDREN'S SERVICES FACILITY,Children's Services Facility,22
Private School,School,22
ADULT DAYCARE,Daycare,21
PUBLIC SHCOOL,School,21
BREWERY,Brewery,21
REHAB CENTER,Rehab Center,20
FITNESS CENTER,Fitness Center,20
WRIGLEY ROOFTOP,Rooftop,20
CHILDRENS SERVICES FACILITY,Children's Services Facility,19
Daycare Night,Daycare Night,19
Assisted Living Senior Care,Assisted Living,19
GAS STATION/GROCERY,Grocery Store,19
BAR,Bar,19
MOBILE DESSERTS VENDOR,Mobile Food,19
