inspection_id,dba_name,address,raw_license,resolved_license,fix_status,candidate_licenses
2625649,THE POINT NIGHTCLUB,1565 N MILWAUKEE AVE,0,,unresolved,
2624029,FRIDA'S PLACE SOUP KITHCEN,1438 W 51ST ST BLDG,0,,unresolved,
2623666,FRIDA'S PLACE SOUP KITHCEN,1438 W 51ST ST BLDG,0,,unresolved,
2622893,HOLY RESURRECTION SERBIAN ORTHODOX CHURCH,3062 W PALMER BLVD,0,,unresolved,
2622739,BSMOOTH,11601 W TOUHY AVE,0,,unresolved,
2620371,AFC SUSHI @ TONYS FINER FOODS,3607 W FULLERTON AVE,0,,unresolved,
2620222,MARATHON,649 N ASHLAND AVE,0,,unresolved,
2619707,ST. ANDREW'S GREEK ORTHODOX CHURCH,5649 N Sheridan RD,0,,unresolved,
2618821,ANNUNCIATION GREEK ORTHODOX CHURCH,1017 N LA SALLE DR,0,,unresolved,
2618424,YOUNG SHING FOODS INC.,2119 S PEORIA ST,0,,unresolved,
2618140,ASADO COFFEE ROASTERS,22 E JACKSON BLVD,0,2354850,recovered_name_addr,2354850
2617997,EPIPHANY PARISH/CHURCH,2524 S KEELER AVE,0,,unresolved,
2617681,EPIPHANY PARISH/CHURCH,2524 S KEELER AVE,0,,unresolved,
2617273,ST. GENEVIEVE CHURCH,4835 W ALTGELD ST,0,,unresolved,
2616660,HOLY RESURRECTION SERBIAN ORTHODOX CATHEDRAL,5701 N REDWOOD DR,0,,unresolved,
2616479,ST. DEMETRIOS GREEK ORTHODOX CHURCH,2727 W WINONA ST,0,,unresolved,
2616295,ASAL RESTAURANT,4748 N KENNETH AVE,0,,unresolved,
2616054,CHURCH OF THE THREE CROSSES,333 W WISCONSIN ST,0,,unresolved,
2615371,ST. GEORGE GREEK ORTHODOX CHURCH,2701 N SHEFFIELD AVE,0,,unresolved,
2615205,ST. JEROME PARISH,1709 W LUNT,0,,unresolved,
2614088,DAMEN MARKET INC.,5700 S DAMEN AVE,0,,unresolved,
2613871,LUBAVITCH GIRLS HIGH SCHOOL,6350 N WHIPPLE ST,0,,unresolved,
2613824,DAMEN MARKET INC.,5700 S DAMEN AVE,0,,unresolved,
2613621,DAMEN MARKET INC.,5700 S DAMEN AVE,0,,unresolved,
2613346,KENWOOD VLGE NRSG AND RHB CTR,4505 S DREXEL BLVD BLDG,0,,unresolved,
2613340,LEONA'S PIZZERIA,4237 N CICERO AVE,0,,unresolved,
2613325,LUBAVITCH GIRLS HIGH SCHOOL,6350 N WHIPPLE ST,0,,unresolved,
2612180,LEONA'S PIZZERIA,4237 N CICERO AVE,0,,unresolved,
2612079,DORE EARLY CHILDHOOD CENTER,6108 S Natoma AVE,0,,unresolved,
2611447,AIRE ANCIENT BATHS CHICAGO,770 N HALSTED ST,0,,unresolved,
2611192,AUDREYS LOVE SNACK SHOP,8645 S RACINE AVE,0,,unresolved,
2610573,MUNCHIES,3900 W MADISON ST,0,2536103,recovered_name_addr,2536103
2610517,PEPPER PALACE,600 E GRAND AVE,0,,unresolved,
2610134,AUDREYS LOVE SNACK SHOP,8645 S RACINE AVE,0,,unresolved,
2609757,MUNCHIES,3900 W MADISON ST,0,2536103,recovered_name_addr,2536103
2609515,ASAL RESTAURANT,4748 N KENNETH AVE,0,,unresolved,
2608523,"C & A WIRELESS, INC.",6261 W GRAND AVE,0,,unresolved,
2608439,PEPPER PALACE,600 E GRAND AVE,0,,unresolved,
2608339,"C & A WIRELESS, INC.",6261 W GRAND AVE,0,,unresolved,
2608112,PEPPER PALACE,600 E GRAND AVE,0,,unresolved,
2608090,"C & A WIRELESS, INC.",6261 W GRAND AVE,0,,unresolved,
2607198,OMBUDSMAN ROSELAND,10928 S HALSTED ST,0,,unresolved,
2604709,ABOVE AND BEYOND,817 S PULASKI RD,0,,unresolved,
2604242,ASAL RESTAURANT,4748 N KENNETH AVE,0,,unresolved,
2604019,ABOVE AND BEYOND,817 S PULASKI RD,0,,unresolved,
2602643,LITTLE BLACK PEARL,1060 E 47TH ST,0,,unresolved,
2602638,KIDS CAFE 1 & 2,1060 E 47TH ST,0,,unresolved,
2602281,SHEPHERD HOPE CHRISTIAN MINISTRY,838 W Marquette Rd (6700S),0,,unresolved,
2601959,MCDONALD'S,6560 S STONY ISLAND AVE,0,,ambiguous,1473532;1770427;1943516;2569616
2600838,APOSTOLIC FAITH CHURCH,3823 S INDIANA AVE,0,,unresolved,
2600787,JOE'S BARBEQ AND FISH #1,4809-11 W MADISON ST,0,,unresolved,
2600573,HOLY NATIVITY ROMANIAN ORTHODOX CHURCH,2820 W ARDMORE ST,0,,unresolved,
2600588,ST. PAULS CHURCH,2335 N ORCHARD ST,0,,unresolved,
2600481,MCDONALD'S,6560 S STONY ISLAND AVE,0,,ambiguous,1473532;1770427;1943516;2569616
2600079,HOLY NATIVITY ROMANIAN ORTHODOX CHURCH,2820 W ARDMORE ST,0,,unresolved,
2598777,SHEPHERD HOPE CHRISTIAN MINISTRY,838 W Marquette Rd (6700S),0,,unresolved,
2598504,SHEPHERD HOPE CHRISTIAN MINISTRY,838 W Marquette Rd (6700S),0,,unresolved,
2598503,MISSIONARIES OF CHARITY INC.,115 N OAKLEY BLVD,0,1300649,recovered_name_addr,1300649
2598367,SHEPHERD HOPE CHRISTIAN MINISTRY,838 W Marquette Rd (6700S),0,,unresolved,
2595788,BSMOOTH,11601 W TOUHY AVE,0,,unresolved,
2595512,ANNUNCIATION GREEK ORTHODOX CHURCH,1017 N LA SALLE DR,0,,unresolved,
2595326,EPIPHANY PARISH/CHURCH,2524 S KEELER AVE,0,,unresolved,
2595233,ST. DEMETRIOS GREEK ORTHODOX CHURCH,2727 W WINONA ST,0,,unresolved,
2595078,ST. ANDREW'S GREEK ORTHODOX CHURCH,5649 N Sheridan RD,0,,unresolved,
2595022,MIDWEST BUDDHIST TEMPLE,435 W MENOMONEE,0,,unresolved,
2594959,ST. DEMETRIOS GREEK ORTHODOX CHURCH,2727 W WINONA ST,0,,unresolved,
2594180,LUBAVITCH GIRLS HIGH SCHOOL,6350 N WHIPPLE ST,0,,unresolved,
2593662,ST. JEROME PARISH,1709 W LUNT,0,,unresolved,
2593246,INN OF CHICAGO,162 E OHIO ST,0,,ambiguous,2506391;2506392
2593281,CHURCH OF THE THREE CROSSES,333 W WISCONSIN ST,0,,unresolved,
2592656,Metropolis Coffee Company T-5,11601 W TOUHY AVE,0,,ambiguous,2887139;2887140
2592265,ST. GEORGE GREEK ORTHODOX CHURCH,2701 N SHEFFIELD AVE,0,,unresolved,
2592179,JIMMY JOHN'S,520 N MICHIGAN AVE,0,2233126,recovered_name_addr,2233126
2591666,HOLY RESURRECTION SERBIAN ORTHODOX CATHEDRAL,5701 N REDWOOD DR,0,,unresolved,
2591508,HOLY RESURRECTION SERBIAN ORTHODOX CATHEDRAL,5701 N REDWOOD DR,0,,unresolved,
2589488,ST STANISLAUS B&M CHURCH,5352 W BELDEN AVE,0,,unresolved,
2589467,ST. GENEVIEVE CHURCH,4835 W ALTGELD ST,0,,unresolved,
2589416,BOBBY E WRIGHT,3525 W JACKSON,0,,unresolved,
2589338,DORE EARLY CHILDHOOD CENTER,6108 S Natoma AVE,0,,unresolved,
2589185,CITY SKYLINE CHICAGO INC,4755 N LINCOLN AVE,0,2934259,recovered_name_addr,2934259
