inspection_id,violation_code,raw_code,era,comment
2625743,53-POST2018,53,post2018,OBSERVED UNISEX TOILET ROOM DOOR NOT SELF CLOSING. INSTRUCTED TO INSTALL A SELF CLOSING DEVICE AND MAINTAIN AT ALL TIMES
2625743,58-POST2018,58,post2018,OBSERVED NO ALLERGEN TRAINING ON SITE DURING TIME OF INSPECTION. INSTRUCTED TO OBTAIN VERIFICATION AND MUST MAINTAIN AT ALL TIMES.
2625757,10-POST2018,10,post2018,HANDSINK IN REAR PREP AREA IN POOR REPAIR AT THIS TIME. SINK IS VERY SLOW DRAINING. INSTRUCTED MANAGER TO USE HANDSINK AT FRONT PREP AREA 15 FEET AWAY. CORRECT AND MAINTAIN  PRIORITY FOUNDATION 7-38-030(C) CITATION ISSUED
2625757,40-POST2018,40,post2018,FOOD HANDLER IN NEED OF EFFECTIVE HAIR RESTRAINT. INSTRUCTED TO CORRECT AND MAINTAIN
2625757,47-POST2018,47,post2018,WORN TORN GASKETS IN NEED OF REPLACING ON FRONT REACH IN COOLER. REAR REACH IN COOLER GASKETS IN NEED OF CLEANING TO REMOVE ALL BUILD UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN
2625757,51-POST2018,51,post2018,OBSERVED LEAK AT FAUCET ON 3 COMPARTMENT SINK. OBSERVED LEAK AT PROOFER OVEN INSTRUCTED TO CORRECT ALL LEAKS AND MAINTAIN
2625731,41-POST2018,41,post2018,3-304.14 OBSERVED WET WIPING CLOTH(S) ON PREP SURFACE AREA IN THE KITCHEN. INSTRUCTED TO STORE PROPERLY IN A SANITIZING SOLUTION BETWEEN USES TO PREVENT CONTAMINATION OF EQUIPMENT & FOOD.
2625731,53-POST2018,53,post2018,5-501.17 OBSERVED MISSING COVERED RECEPTACLE IN PUBLIC/EMPLOYEE WASHROOM. INSTRUCTED TO PROVIDE.
2625731,56-POST2018,56,post2018,"6-202.11 OBSERVED DUST/DIRT BUILDUP ON VENTS IN PUBLIC/EMPLOYEE WASHROOM AND IN TCONTINUED NON-COMHE KITCHEN OVER THE 3-COMPARTMENT SINK, MISSING LIGHT SHIELDS IN FURNACE ROOM AND BURNED-OUT LIGHTBULB IN THE TODDLER/CATTERPILLAR CLASSROOM. INSTRUCTED TO CLEAN AND MAINTAIN."
2625792,2-POST2018,2,post2018,"OBSERVED NO CITY OF CHICAGO FOOD SANITATION MANAGER ON SITE WHILE TCS FOODS ARE BEING PREPPED AND SERVED (SUCH AS BEEF, CHICKEN). INSTRUCTED MUST HAVE A CITY OF CHICAGO FOOD SANITATION MANAGER ON SITE AT ALL TIMES WHEN TCS FOODS ARE BEING PREPPED/SERVED. INSTRUCTED MUST POST A VALID CITY OF CHICAGO FOOD SANITATION MANAGER CERTIFICATION IN PLAIN VIEW OF CUSTOMERS AT ALL TIMES.PRIORITY FOUNDATION VIOLATION 7-38-012. CITATION ISSUED."
2625792,3-POST2018,3,post2018,OBSERVED NO VERIFIABLE EMPLOYEE HEALTH POLICY ON SITE AT TIME OF INSPECTION. LEFT TEMPLATE AND INSTRUCTED TO MAINTAIN COPIES OF VERIFIABLE HEALTH POLICY SIGNED BY ALL EMPLOYEES ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-010. CITATION ISSUED.
2625792,10-POST2018,10,post2018,OBSERVED HANDWASHING SINK AT THE PREP AREA IN OPERABLE DUE TO IT CLOGGED AND DISCONNECTED.  INSTRUCTED TO HAVE HOT AND COLD RUNNING WATER AT A MINIMUM TEMPERATURE OF 100F AT ALL HAND WASH SINKS. PRIORITY VIOLATION  7-38-030(C)
2625792,35-POST2018,35,post2018,"OBSERVED FROZEN MEAT THAWING IN THE FOOD PREP AREA. MANAGEMENT INSTRUCTED TO THAW TCS FOODS UNDER COLD RUNNING WATER, IN THE REFRIGERATOR OR IN THE MICROWAVE AS PART OF A CONTINUOUS COOKING PROCESS."
2625792,38-POST2018,38,post2018,"OBSERVED NO CURRENT PEST CONTROL LOGBOOK ON SITE AT TIME OF INSPECTION. MUST PROVIDE CONTRACT, LOGBOOK AND RECENT PEST CONTROL SERVICE. PRIORITY FOUNDATION 7-38-020(C)"
2625792,48-POST2018,48,post2018,OBSERVED NO QUATS OR CHLORINE SANITIZER TESTING DEVICES ON SITE AT TIME OF INSPECTION. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-005. CITATION ISSUED.
2625792,49-POST2018,49,post2018,"OBSERVED ACCUMULATED GREASE AND FOOD DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF COOKING EQUIPMENT, PREP TABLES, COOLERS, FREEZERS, SHELVING UNITS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN."
2625792,55-POST2018,55,post2018,OBSERVED DEBRIS ON FLOORS ALONG WALLS AND CORNERS IN PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.
2625792,57-POST2018,57,post2018,OBSERVED NO FOOD HANDLERS CERTIFICATES ON SITE. INSTRUCTED MANAGER TO COMPLY WITH THE IDPH FOOD HANDLER REQUIREMENT.
2625792,58-POST2018,58,post2018,OBSERVED NO FOOD SERVICE SANITATION MANAGER FOOD ALLERGEN TRAINING CERTIFICATE. INSTRUCTED TO MEET REQUIREMENT.
2625746,10-POST2018,10,post2018,OBSERVED NO HOT WATER (73.4F) AT HAND WASHING SINK IN FIRST FLOOR STAFF WASHROOM NEAR ROOM 112. INSTRUCTED MANAGER TO PROVIDE HOT WATER AT ALL HAND WASHING SINKS. PRIORITY 7-38-030(C)
2625746,38-POST2018,38,post2018,"OBSERVED EXIT DOOR #4 AND #7 NOT RODENT PROOFED, 1/4"" GAP ON BOTTOM OF EXIT DOORS #4 AND BOTTOM RIGHT CORNER OF EXIT DOOR #7 IN PRE-K CLASSROOM. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOORS TO PREVENT PEST ENTRY."
2625746,55-POST2018,55,post2018,OBSERVED FOOD DEBRIS AND SPILLS ON FLOOR IN LUNCHROOM AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.
2625746,55-POST2018,55,post2018,"OBSERVED DAMAGED FLOOR TILES, PEELING PAINT ON WALLS AND CEILINGS IN PREP, STORAGE, LUNCHROOM AREAS. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN."
