violation_code,raw_code,era,description,n_occurrences
1-POST2018,1,post2018,"PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES",4552
1-PRE2018,1,pre2018,"SOURCE SOUND CONDITION, NO SPOILAGE, FOODS PROPERLY LABELED, SHELLFISH TAGS IN PLACE",670
2-POST2018,2,post2018,CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE,9622
2-PRE2018,2,pre2018,FACILITIES TO MAINTAIN PROPER TEMPERATURE,6348
3-POST2018,3,post2018,"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING",18124
3-PRE2018,3,pre2018,"POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE",9028
4-POST2018,4,post2018,PROPER USE OF RESTRICTION AND EXCLUSION,15
4-PRE2018,4,pre2018,"SOURCE OF CROSS CONTAMINATION CONTROLLED I.E. CUTTING BOARDS, FOOD  HANDLERS, UTENSILS, ETC",516
5-POST2018,5,post2018,PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS,19005
5-PRE2018,5,pre2018,"PERSONNEL WITH INFECTIONS RESTRICTED: NO OPEN SORES, WOUNDS, ETC",16
6-POST2018,6,post2018,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",552
6-PRE2018,6,pre2018,"HANDS WASHED AND CLEANED, GOOD HYGIENIC PRACTICES; NO BARE HAND CONTACT WITH READY-TO-EAT FOODS.",1854
7-POST2018,7,post2018,"NO DISCHARGE FROM EYES, NOSE, AND MOUTH",19
7-PRE2018,7,pre2018,WASH AND RINSE WATER: CLEAN AND PROPER TEMPERATURE,145
8-POST2018,8,post2018,HANDS CLEAN & PROPERLY WASHED,790
8-PRE2018,8,pre2018,"SANITIZING RINSE FOR EQUIPMENT AND UTENSILS:  CLEAN, PROPER TEMPERATURE, CONCENTRATION, EXPOSURE TIME",2651
9-POST2018,9,post2018,NO BARE HAND CONTACT WITH RTE FOOD OR A PRE-APPROVED ALTERNATIVE PROCEDURE PROPERLY ALLOWED,596
9-PRE2018,9,pre2018,"WATER SOURCE: SAFE, HOT & COLD UNDER CITY PRESSURE",1656
10-POST2018,10,post2018,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE,25766
10-PRE2018,10,pre2018,"SEWAGE AND WASTE WATER DISPOSAL, NO BACK SIPHONAGE, CROSS  CONNECTION AND/OR BACK FLOW",860
11-POST2018,11,post2018,FOOD OBTAINED FROM APPROVED SOURCE,152
11-PRE2018,11,pre2018,"ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED",3612
12-POST2018,12,post2018,FOOD RECEIVED AT PROPER TEMPERATURE,31
12-PRE2018,12,pre2018,"HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA",3033
13-POST2018,13,post2018,"FOOD IN GOOD CONDITION, SAFE, & UNADULTERATED",209
13-PRE2018,13,pre2018,"NO EVIDENCE OF RODENT OR INSECT INFESTATION, NO BIRDS, TURTLES OR OTHER ANIMALS",637
14-POST2018,14,post2018,"REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION",676
14-PRE2018,14,pre2018,"PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090",1607
15-POST2018,15,post2018,FOOD SEPARATED AND PROTECTED,548
15-PRE2018,15,pre2018,UNWRAPPED AND POTENTIALLY HAZARDOUS FOOD NOT RE-SERVED,2
16-POST2018,16,post2018,FOOD-CONTACT SURFACES: CLEANED & SANITIZED,7850
16-PRE2018,16,pre2018,"FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION",5197
17-POST2018,17,post2018,"PROPER DISPOSITION OF RETURNED, PREVIOUSLY SERVED, RECONDITIONED & UNSAFE FOOD",34
17-PRE2018,17,pre2018,POTENTIALLY HAZARDOUS FOOD PROPERLY THAWED,128
18-POST2018,18,post2018,PROPER COOKING TIME & TEMPERATURES,11
18-PRE2018,18,pre2018,"NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS",16992
19-POST2018,19,post2018,PROPER REHEATING PROCEDURES FOR HOT HOLDING,51
19-PRE2018,19,pre2018,"OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED",4293
20-POST2018,20,post2018,PROPER COOLING TIME AND TEMPERATURE,114
20-PRE2018,20,pre2018,"INSIDE CONTAINERS OR RECEPTACLES: ADEQUATE NUMBER, PROPERLY COVERED AND INSECT/RODENT PROOF",107
21-POST2018,21,post2018,PROPER HOT HOLDING TEMPERATURES,1300
21-PRE2018,21,pre2018,* CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED,9383
22-POST2018,22,post2018,PROPER COLD HOLDING TEMPERATURES,5746
22-PRE2018,22,pre2018,"DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK",1146
23-POST2018,23,post2018,PROPER DATE MARKING AND DISPOSITION,6307
23-PRE2018,23,pre2018,"DISHES AND UTENSILS FLUSHED, SCRAPED, SOAKED",5
24-POST2018,24,post2018,TIME AS A PUBLIC HEALTH CONTROL; PROCEDURES & RECORDS,77
24-PRE2018,24,pre2018,"DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED",3238
25-POST2018,25,post2018,CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD,5721
25-PRE2018,25,pre2018,"TOXIC ITEMS PROPERLY STORED, LABELED AND USED",174
26-POST2018,26,post2018,PASTEURIZED FOODS USED; PROHIBITED FOODS NOT OFFERED,6
26-PRE2018,26,pre2018,"ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, PROPERLY DESIGNED AND INSTALLED",1434
27-POST2018,27,post2018,FOOD ADDITIVES: APPROVED AND PROPERLY USED,11
27-PRE2018,27,pre2018,"TOILET ROOMS ENCLOSED CLEAN, PROVIDED WITH HAND CLEANSER, SANITARY HAND DRYING DEVICES AND PROPER WASTE RECEPTACLES",396
28-POST2018,28,post2018,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, & USED",471
28-PRE2018,28,pre2018,* INSPECTION REPORT SUMMARY DISPLAYED AND VISIBLE TO ALL CUSTOMERS,1419
29-POST2018,29,post2018,COMPLIANCE WITH VARIANCE/SPECIALIZED PROCESS/HACCP,743
29-PRE2018,29,pre2018,PREVIOUS MINOR VIOLATION(S) CORRECTED 7-42-090,6114
30-POST2018,30,post2018,PASTEURIZED EGGS USED WHERE REQUIRED,20
30-PRE2018,30,pre2018,"FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED",16282
31-POST2018,31,post2018,WATER & ICE FROM APPROVED SOURCE,19
31-PRE2018,31,pre2018,CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES,9921
32-POST2018,32,post2018,VARIANCE OBTAINED FOR SPECIALIZED PROCESSING METHODS,450
32-PRE2018,32,pre2018,"FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED",54851
33-POST2018,33,post2018,PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL,4033
33-PRE2018,33,pre2018,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",62915
34-POST2018,34,post2018,PLANT FOOD PROPERLY COOKED FOR HOT HOLDING,6
34-PRE2018,34,pre2018,"FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED",71794
35-POST2018,35,post2018,APPROVED THAWING METHODS USED,1006
35-PRE2018,35,pre2018,"WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS",64783
36-POST2018,36,post2018,THERMOMETERS PROVIDED & ACCURATE,9377
36-PRE2018,36,pre2018,"LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED",25638
37-POST2018,37,post2018,FOOD PROPERLY LABELED; ORIGINAL CONTAINER,12535
37-PRE2018,37,pre2018,TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS,6860
38-POST2018,38,post2018,"INSECTS, RODENTS, & ANIMALS NOT PRESENT",20500
38-PRE2018,38,pre2018,VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED,54197
39-POST2018,39,post2018,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY",10399
39-PRE2018,39,pre2018,LINEN: CLEAN AND SOILED PROPERLY STORED,660
40-POST2018,40,post2018,PERSONAL CLEANLINESS,4754
40-PRE2018,40,pre2018,REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS,14969
41-POST2018,41,post2018,WIPING CLOTHS: PROPERLY USED & STORED,6540
41-PRE2018,41,pre2018,"PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED",33319
42-POST2018,42,post2018,WASHING FRUITS & VEGETABLES,14
42-PRE2018,42,pre2018,APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN,6447
43-POST2018,43,post2018,IN-USE UTENSILS: PROPERLY STORED,3598
43-PRE2018,43,pre2018,"FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED",8187
44-POST2018,44,post2018,"UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED",4005
44-PRE2018,44,pre2018,ONLY AUTHORIZED PERSONNEL IN THE FOOD-PREP AREA,400
45-POST2018,45,post2018,SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED,3324
45-PRE2018,45,pre2018,FOOD HANDLER REQUIREMENTS MET,7522
46-POST2018,46,post2018,GLOVES USED PROPERLY,235
47-POST2018,47,post2018,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED",34912
48-POST2018,48,post2018,"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS",8038
49-POST2018,49,post2018,NON-FOOD/FOOD CONTACT SURFACES CLEAN,27521
50-POST2018,50,post2018,HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE,1376
51-POST2018,51,post2018,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,25730
52-POST2018,52,post2018,SEWAGE & WASTE WATER PROPERLY DISPOSED,2124
53-POST2018,53,post2018,"TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED",15919
54-POST2018,54,post2018,GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED,5431
55-POST2018,55,post2018,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",76413
56-POST2018,56,post2018,ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED,22193
57-POST2018,57,post2018,ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING,13988
58-POST2018,58,post2018,ALLERGEN TRAINING AS REQUIRED,18454
59-POST2018,59,post2018,PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED,1675
60-POST2018,60,post2018,PREVIOUS CORE VIOLATION CORRECTED,5947
61-POST2018,61,post2018,SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC,1691
62-POST2018,62,post2018,COMPLIANCE WITH CLEAN INDOOR AIR ORDINANCE,189
63-POST2018,63,post2018,REMOVAL OF SUSPENSION SIGN,45
64-POST2018,64,post2018,MISCELLANEOUS / PUBLIC HEALTH ORDERS,1036
70-PRE2018,70,pre2018,NO SMOKING REGULATIONS,595
